Array size;Bubble sort Random 0-5;Bubble sort Random 0-4100;Bubble sort Almost sort;Bubble sort Reverse sort;Bubble sort with 1 condition Random 0-5;Bubble sort with 1 condition Random 0-4100;Bubble sort with 1 condition Almost sort;Bubble sort with 1 condition Reverse sort;Bubble sort with 2 condition Random 0-5;Bubble sort with 2 condition Random 0-4100;Bubble sort with 2 condition Almost sort;Bubble sort with 2 condition Reverse sort;Insertion sort Random 0-5;Insertion sort Random 0-4100;Insertion sort Almost sort;Insertion sort Reverse sort;Selection sort Random 0-5;Selection sort Random 0-4100;Selection sort Almost sort;Selection sort Reverse sort;Binary insertion sort Random 0-5;Binary insertion sort Random 0-4100;Binary insertion sort Almost sort;Binary insertion sort Reverse sort;Count sort Random 0-5;Count sort Random 0-4100;Count sort Almost sort;Count sort Reverse sort;Radix sort Random 0-5;Radix sort Random 0-4100;Radix sort Almost sort;Radix sort Reverse sort;Heap sort Random 0-5;Heap sort Random 0-4100;Heap sort Almost sort;Heap sort Reverse sort;Merge Sort Random 0-5;Merge Sort Random 0-4100;Merge Sort Almost sort;Merge Sort Reverse sort;Quick Sort Hoare Random 0-5;Quick Sort Hoare Random 0-4100;Quick Sort Hoare Almost sort;Quick Sort Hoare Reverse sort;Quick Sort Lomuto Random 0-5;Quick Sort Lomuto Random 0-4100;Quick Sort Lomuto Almost sort;Quick Sort Lomuto Reverse sort
100;112;118;107;151;141;126;113;193;120;105;98;154;31;35;24;65;56;59;66;68;50;75;53;131;59;59;59;82;35;41;35;35;25;29;29;25;146;141;132;151;13;14;13;10;37;17;29;58
200;449;459;450;604;541;505;458;781;455;437;402;566;103;139;112;259;219;227;219;266;175;233;179;517;59;59;60;80;44;56;44;44;58;66;65;58;298;274;270;306;30;34;29;20;130;34;97;216
300;997;1047;994;1356;1219;1131;1025;1759;1033;986;903;1279;241;296;259;696;487;497;496;633;393;491;389;1158;59;61;60;81;54;55;54;54;91;107;108;95;446;424;415;465;46;52;47;31;260;54;201;454
400;1806;1808;1710;2420;1947;2026;1870;3147;1832;1731;1574;2289;429;527;438;1264;876;876;864;1093;664;840;720;2055;60;60;60;82;64;64;65;64;127;151;151;134;591;559;578;624;62;74;62;43;494;77;358;832
500;2744;2836;2720;3783;2917;3155;2927;4951;2912;2637;2449;3548;663;817;680;1978;1341;1362;1416;1633;1008;1308;1135;3202;60;60;61;83;74;74;74;74;165;196;196;174;713;728;704;785;85;94;80;54;689;103;553;1397
600;4196;4113;3941;5722;4164;4570;4091;6719;4172;3859;3526;5100;956;1177;1068;2849;1924;1949;2041;2428;1478;1929;1573;4621;61;62;62;83;84;84;89;84;203;244;245;218;868;888;843;951;101;113;100;65;987;131;796;2351
700;5430;5650;5333;8189;5578;6130;5597;8171;5605;5235;4837;6995;1326;1598;1604;3899;2621;2647;2660;3187;2084;2544;2120;6260;62;62;62;86;94;94;94;96;243;292;300;260;1013;1017;989;1111;118;139;119;77;1327;145;1057;2673
800;7032;7407;7484;12453;7599;8162;7182;12563;7157;6736;6307;9103;1718;2096;2185;5041;3455;3446;3579;4179;2777;3432;2777;8648;62;62;63;85;104;107;104;114;289;341;339;303;1164;1149;1130;1266;136;155;138;88;1709;182;1357;3299
900;8796;9464;9357;15746;9282;10171;9138;17724;8358;8557;8020;11508;2162;2643;2673;6409;4320;4423;5366;5371;3519;4121;3513;8409;63;63;63;86;115;114;116;130;329;392;392;351;1353;1325;1279;1434;159;177;153;102;2123;210;1710;4284
1000;11158;11632;11566;19448;11444;12679;11728;22100;10640;10529;9875;14239;2635;3266;3345;7947;5361;5514;6988;6557;4325;5722;4286;10236;63;64;64;87;130;124;125;134;370;440;443;398;1480;1464;1429;1625;175;200;178;111;2654;221;2108;5452
1100;13768;14482;13424;19181;14497;15382;18858;19654;13939;12828;13051;17356;3275;3986;3994;9608;7590;6487;7229;7888;5280;6029;5321;12492;64;64;65;88;134;134;134;145;412;489;494;442;2102;1621;1576;1765;194;221;193;123;3424;245;2562;6955
1200;17112;16756;15773;21780;16489;17965;16420;24085;16228;15929;14145;22267;3970;4746;4723;10916;10153;7720;8044;9826;6101;7041;6798;15223;65;65;65;88;144;145;144;156;459;542;542;490;1748;1852;1723;1938;234;245;219;135;4684;283;3066;11992
1300;23069;19772;19100;27960;19486;21326;19308;27318;16563;18333;16576;27971;4575;5791;4584;10923;10859;9050;9191;12012;8454;8598;11588;17107;65;65;66;89;156;154;154;167;500;592;600;545;1933;1912;1900;2110;234;276;236;147;3553;305;3551;12226
1400;24490;23303;21467;29766;22406;24432;22292;31786;20189;21558;19150;29943;5247;6431;5459;12717;11212;10493;10493;15371;12911;9650;9453;19784;66;66;66;90;166;164;168;178;546;646;651;586;2114;2051;2021;2252;258;289;256;160;4186;330;4103;10396
1500;31009;26452;25136;34121;25732;28473;25506;36764;22184;24304;21976;33305;6109;7275;6353;14527;13396;16087;12581;17584;14788;11183;13828;25014;66;66;67;91;180;174;188;190;619;718;707;641;2226;2201;2163;2415;279;309;282;172;4822;379;4704;11375
1600;30705;33238;28300;39310;32704;32259;35817;42471;25055;27427;24888;40750;6907;8693;7547;16547;14050;18059;13587;18860;12109;12676;11738;32679;67;67;68;92;186;190;190;205;627;755;756;683;2374;2396;2291;2580;293;338;297;184;5341;402;5645;13300
1700;33164;35064;34503;43769;35510;37488;33630;47092;28320;30674;28622;46881;8393;9286;8001;19318;15381;19786;15391;20639;12376;15540;12633;29987;68;68;69;92;196;205;193;211;678;809;811;736;2829;2484;2438;2768;327;363;309;193;6033;436;6686;15687
1800;42479;39215;39820;58904;42600;42744;36752;62781;32195;35316;31515;49539;10636;10363;8900;21092;17236;17304;17248;21732;14584;20165;14128;34063;68;68;69;95;204;204;203;221;727;861;899;784;2656;2641;2594;2963;354;379;350;207;6824;445;6858;17500
1900;41396;44984;39491;56424;43904;51654;41314;58601;35441;38467;35143;54290;12218;11559;9926;23436;19166;19246;19185;25232;15418;22869;16742;36211;69;69;69;94;214;213;214;232;875;917;925;845;2840;2845;2750;3264;358;400;356;218;7584;449;7499;19087
2000;48423;46858;44293;60451;48800;59783;46981;65482;42311;42971;39755;79839;13314;12947;11197;25877;22132;22272;21189;26236;19565;21306;20881;40229;70;69;70;95;254;223;226;244;1060;972;967;888;2981;2969;2927;2785;376;432;391;230;8369;515;8308;21683
2100;61676;52432;51237;67550;50683;65013;60568;71548;48499;47725;46551;66606;14780;14326;12769;28592;30792;23652;23498;33066;28032;21947;25262;48388;70;71;71;96;352;254;257;237;856;1022;1029;937;3362;3162;3070;2930;391;462;402;244;9170;581;9156;23466
2200;64921;57008;55626;73944;56146;67813;58105;80498;47914;51486;47447;77472;14408;15670;13299;31832;29846;25791;26250;33327;23731;23980;23479;50124;71;71;71;96;244;266;265;246;907;1080;1088;985;3386;3305;3197;3084;420;474;427;257;10071;536;10177;26730
2300;65226;62450;63505;88431;61078;74166;61025;91131;52772;56870;53199;88263;14536;17135;14713;42867;28071;29552;28197;33912;25105;26241;29264;53273;74;71;72;97;288;276;276;260;956;1612;1145;1051;3439;3454;3350;3243;439;502;449;268;11599;609;11248;28547
2400;81089;73644;62788;88835;65878;74122;66062;98788;64165;66189;57564;82717;15796;19139;19961;44304;31698;30723;30635;38546;23850;30255;33545;61912;72;72;72;98;318;289;287;305;1002;1802;1203;1106;3583;3595;4023;3355;462;529;464;283;12012;703;11962;30909
