Array size;Bubble sort Random 0-5;Bubble sort Random 0-4100;Bubble sort Almost sort;Bubble sort Reverse sort;Bubble sort with 1 condition Random 0-5;Bubble sort with 1 condition Random 0-4100;Bubble sort with 1 condition Almost sort;Bubble sort with 1 condition Reverse sort;Bubble sort with 2 condition Random 0-5;Bubble sort with 2 condition Random 0-4100;Bubble sort with 2 condition Almost sort;Bubble sort with 2 condition Reverse sort;Insertion sort Random 0-5;Insertion sort Random 0-4100;Insertion sort Almost sort;Insertion sort Reverse sort;Selection sort Random 0-5;Selection sort Random 0-4100;Selection sort Almost sort;Selection sort Reverse sort;Binary insertion sort Random 0-5;Binary insertion sort Random 0-4100;Binary insertion sort Almost sort;Binary insertion sort Reverse sort;Count sort Random 0-5;Count sort Random 0-4100;Count sort Almost sort;Count sort Reverse sort;Radix sort Random 0-5;Radix sort Random 0-4100;Radix sort Almost sort;Radix sort Reverse sort;Heap sort Random 0-5;Heap sort Random 0-4100;Heap sort Almost sort;Heap sort Reverse sort;Merge Sort Random 0-5;Merge Sort Random 0-4100;Merge Sort Almost sort;Merge Sort Reverse sort;Quick Sort Hoare Random 0-5;Quick Sort Hoare Random 0-4100;Quick Sort Hoare Almost sort;Quick Sort Hoare Reverse sort;Quick Sort Lomuto Random 0-5;Quick Sort Lomuto Random 0-4100;Quick Sort Lomuto Almost sort;Quick Sort Lomuto Reverse sort
50;28;31;27;38;35;31;30;40;29;36;24;35;9;9;7;17;16;16;20;18;15;16;14;34;59;63;66;64;31;30;32;43;11;12;14;11;71;65;65;73;6;8;6;5;9;6;8;16
60;39;43;36;54;44;47;41;58;42;48;38;50;12;12;10;24;21;22;27;26;19;22;20;48;58;58;58;58;30;30;30;34;13;15;18;13;84;86;78;87;7;9;7;5;12;9;13;18
70;53;57;58;73;63;60;59;93;58;65;49;69;15;17;13;34;28;30;36;34;26;28;27;65;58;60;58;58;31;31;31;31;16;18;25;15;94;92;91;104;9;10;8;6;16;10;15;22
80;71;76;70;97;85;81;78;103;79;89;63;90;20;22;16;42;37;38;47;44;38;36;42;85;58;58;58;59;33;33;32;33;18;21;29;18;109;108;113;122;12;13;10;8;18;13;20;35
90;91;97;91;122;117;102;93;136;102;121;78;114;25;29;23;54;46;48;60;55;61;44;44;106;58;58;59;58;33;34;33;34;21;25;32;22;124;121;119;134;12;14;11;8;25;14;26;39
100;111;120;121;150;153;125;114;162;120;129;98;141;31;35;24;66;56;59;73;68;56;57;53;131;58;59;63;58;34;35;34;34;24;28;36;63;136;132;131;149;13;16;13;10;29;15;29;58
110;138;144;133;182;166;145;148;196;142;132;119;172;45;42;30;86;68;71;88;82;62;72;63;159;60;59;58;58;35;38;35;35;27;32;42;27;155;148;146;165;15;18;15;10;32;17;39;69
120;160;169;158;217;199;176;167;233;165;156;140;203;46;49;38;93;80;84;106;96;69;134;71;188;58;59;58;59;36;36;37;36;30;36;45;30;164;161;160;181;17;20;16;14;90;20;39;85
130;192;197;188;254;226;203;193;290;190;179;167;238;49;57;42;110;94;98;122;112;88;121;85;220;58;59;58;59;37;38;37;37;33;39;51;33;179;256;175;196;18;24;18;19;44;19;45;106
140;210;227;223;296;270;244;219;321;230;202;196;276;55;66;48;132;109;114;141;130;101;138;94;255;58;59;58;59;38;41;39;42;36;43;55;37;192;221;190;238;19;24;19;13;53;23;50;154
150;241;264;250;339;323;285;255;369;255;248;218;318;61;75;55;145;124;129;162;149;104;171;104;294;58;59;58;59;39;39;39;39;39;47;58;51;206;237;202;230;22;27;21;14;58;25;57;116
160;273;296;286;386;348;319;292;416;292;271;253;361;70;88;66;165;142;150;184;194;120;209;119;332;58;59;58;59;40;40;40;40;42;50;64;44;221;256;216;244;22;28;22;16;64;25;97;139
170;314;342;325;437;390;407;328;470;328;318;284;408;79;99;81;186;159;164;207;211;176;214;134;375;59;59;60;59;42;41;41;41;47;55;69;47;235;278;230;259;25;29;24;17;75;32;112;161
180;354;412;365;488;428;411;398;528;363;350;326;459;88;109;94;210;178;184;235;214;149;242;147;421;59;59;59;59;42;42;42;42;50;58;73;51;254;286;243;275;26;31;27;18;80;30;114;174
190;399;420;402;545;476;456;413;599;400;392;350;510;111;126;102;232;198;204;260;404;179;259;163;467;59;59;59;59;43;43;43;43;53;62;79;54;263;300;257;289;27;34;28;19;116;33;129;203
200;448;459;445;604;538;513;462;657;450;438;400;569;103;139;113;257;219;227;288;426;190;303;181;518;59;59;59;59;44;44;44;44;61;68;82;57;281;324;270;304;29;37;29;20;104;34;154;217
210;486;499;511;684;592;553;506;710;504;485;446;627;113;153;124;284;242;248;318;324;210;321;199;570;59;59;59;59;45;45;45;45;59;70;89;61;291;332;286;322;31;40;31;21;107;35;150;219
220;542;536;527;731;645;598;549;780;553;529;488;684;127;169;138;333;264;272;347;329;244;338;217;634;59;61;59;59;46;46;46;46;62;74;94;65;305;349;327;337;32;41;32;22;113;45;160;244
230;597;587;570;798;715;667;608;1326;601;570;510;778;140;179;151;671;289;297;375;353;252;369;232;683;59;83;59;59;47;47;47;47;65;78;101;68;319;368;327;353;34;44;33;23;136;46;128;286
240;647;639;632;869;776;743;657;1219;662;617;570;814;155;195;165;437;313;321;432;385;247;398;264;743;61;88;59;59;48;48;48;49;69;82;104;72;334;382;327;373;36;45;35;24;143;42;134;290
250;692;697;683;990;857;774;717;1625;723;682;614;883;173;207;179;402;341;348;460;418;280;433;279;807;59;85;59;60;50;49;49;49;73;86;111;109;350;400;344;386;37;48;37;25;145;43;146;317
260;750;754;738;1020;918;849;776;1762;780;729;671;956;197;221;195;438;367;377;481;451;314;456;309;872;59;72;62;59;50;50;50;52;76;90;117;79;365;419;359;1321;40;50;39;26;159;46;154;376
270;830;820;814;1100;994;921;829;2056;851;799;724;1034;198;238;212;469;397;405;516;486;318;490;325;940;60;60;61;59;51;51;51;51;80;94;123;83;386;435;373;375;39;52;40;27;181;55;168;368
280;902;875;871;1189;1075;989;929;1532;908;854;797;1112;211;256;229;505;424;435;555;523;405;535;346;1012;71;60;60;59;52;54;53;55;83;98;127;87;391;452;386;374;42;52;42;29;183;47;183;399
290;946;945;923;1268;1146;1057;958;1644;969;930;855;1193;228;277;247;552;455;470;595;560;369;564;367;1083;59;60;60;60;53;53;54;53;87;102;132;97;405;467;398;390;44;54;53;30;221;59;201;431
300;997;1009;994;1358;1223;1111;1024;1768;1034;993;905;1272;242;296;258;583;487;497;638;598;393;617;472;1158;59;64;60;60;54;54;54;54;91;107;139;95;449;485;414;400;46;57;56;31;209;53;201;450
